solution_id,preference,cost,time,n_foods,foods,energy_value,energy_RLL,energy_RUL,energy_status,protein_value,protein_RLL,protein_RUL,protein_status,carbohydrate_value,carbohydrate_RLL,carbohydrate_RUL,carbohydrate_status,fiber_value,fiber_RLL,fiber_RUL,fiber_status,sodium_value,sodium_RLL,sodium_RUL,sodium_status
1,93.1813,10.8087,589.4187,11,EKMEK | MERCİMEK ÇORBASI | MEVSİM SALATASI | BULGUR ÇORBASI | ETSİZ BULGURLU ISPANAK | FASULYE PİLAKİ | KABAK BAYILDI | MAKARNA SALATASI LD | MEVSİM SALATASI LD | ŞEFTALİ SUYU LD | TEL ŞEHRİYELİ HAVUÇ ÇORBASI,1832.19,2000.0,2400.0,UNDER,51.1,40.0,100.0,OK,202.55,170.0,300.0,OK,42.3,20.0,9999.0,OK,2181.15,1500.0,2300.0,OK
2,88.6511,14.3589,240.2489,11,EKMEK | HAVUÇ SALATASI | NARLI KAHVALTI SALATASI | PEYNİRLİ GÜL BÖREĞİ | YOĞURT B | ÇİLEK | ETSİZ KEREVİZ | MEVSİM SALATASI LD | MISIRLI PİRİNÇ PİLAVI | ŞEFTALİ SUYU LD | TAM BUĞDAY EKMEK LD,1923.38,2000.0,2400.0,UNDER,43.41,40.0,100.0,OK,239.41,170.0,300.0,OK,26.2,20.0,9999.0,OK,1495.74,1500.0,2300.0,UNDER
3,177.447,28.723,402.353,21,ELMA DİLİM PATATES KIZARTMASI B | HAVUÇ-TURP SALATASI | HİNDİ SALAMI | ISPANAKLI GÜL BÖREĞİ | KAYMAK | NARLI KAHVALTI SALATASI | ŞEFTALİ REÇELİ | TAHİN PEKMEZ | VİŞNE REÇELİ | YABAN MERSİNİ MARMELATI | YAZ HELVASI | ÇİLEK | ETSİZ KEREVİZ | HAVUÇLU PİRİNÇ PİLAVI | KAYISI SUYU LD | KÜP PATATES KIZARTMASI | MEVSİM SALATASI LD | ROKA SALATASI LD | SALATALIK TURSUSU | SEBZE GARNİTÜR (HAŞLANMIŞ) LD | TAM BUĞDAY EKMEK LD,2667.51,2000.0,2400.0,OVER,40.71,40.0,100.0,OK,335.08,170.0,300.0,OVER,33.7,20.0,9999.0,OK,1753.73,1500.0,2300.0,OK
