gen,hypervolume,n_solutions
1,1833601.8625366301,100
2,2040085.415406205,100
3,2182651.3358097356,100
4,2225639.4613437466,100
5,2275917.2274875166,100
6,2346811.89569689,100
7,2384186.925135893,100
8,2478670.33356461,100
9,2482610.427271834,100
10,2489102.6534449025,100
11,2502949.905991517,100
12,2510890.4741324643,100
13,2556927.3908496583,100
14,2560723.3057145486,100
15,2565720.848848389,100
16,2580254.2222164944,100
17,2593814.0368395355,100
18,2608235.134590987,100
19,2612765.4251016593,100
20,2620911.4862840264,100
21,2620358.3927508276,100
22,2646112.1184295644,100
23,2659153.0179642453,100
24,2731958.3570413417,100
25,2784892.301532064,100
26,2791898.9847211153,100
27,2787531.7485859375,100
28,2792723.019348122,100
29,2772738.250462468,100
30,2815719.0011516195,100
31,2884444.478595616,100
32,2899162.6199214463,100
33,2912674.099292289,100
34,2918817.5135317906,100
35,2932052.516102705,100
36,2934792.2639591577,100
37,2935759.41734908,100
38,2958495.770525745,100
39,2960431.288063824,100
40,2956724.3561459775,100
41,2957672.6675593355,100
42,2954891.8889475567,100
43,2955619.2205555956,100
44,2973091.2749219267,100
45,2977790.88809527,100
46,2977576.4104832327,100
47,2975383.3895899737,100
48,2982827.099613726,100
49,3001319.2638798957,100
50,2991141.620731022,100
51,2995557.3185456814,100
52,3006113.9054122753,100
53,3008857.5105370875,100
54,3013146.931260928,100
55,3012512.342305822,100
56,3010174.904574443,100
57,3012104.7144107185,100
58,3006408.267967981,100
59,3017269.9086761484,100
60,3016154.087863613,100
61,3015643.965826898,100
62,3015363.2506100396,100
63,3015380.281185976,100
64,3011961.9248108426,100
65,3022231.615199679,100
66,3021604.240570671,100
67,3039271.5040639825,100
68,3051397.392200347,100
69,3061801.546504988,100
70,3065409.6115861135,100
71,3071834.4106052476,100
72,3066251.171409743,100
73,3092016.7183616855,100
74,3051200.8791661495,100
75,3044271.515543017,100
76,3060715.9018438593,100
77,3061329.6865332136,100
78,3060019.9978219997,100
79,3058924.790299543,100
80,3059369.4597697975,100
81,3075505.599716658,100
82,3086776.3161691194,100
83,3085163.79080353,100
84,3085385.3172872416,100
85,3085675.1460900307,100
86,3095043.2830548254,100
87,3094154.9620056897,100
88,3096238.10992966,100
89,3101978.177335017,100
90,3112769.125686677,100
91,3110187.0630429555,100
92,3122719.1563144107,100
93,3129051.852577488,100
94,3143982.824903876,100
95,3148837.4098990397,100
96,3151535.8073648275,100
97,3151910.6448828336,100
98,3148018.9745861385,100
99,3148317.6828594627,100
100,3147864.395575133,100
101,3147359.6165821,100
102,3166136.85605859,100
103,3167930.164114404,100
104,3163536.3196223127,100
105,3157601.7514003864,100
106,3153430.1727546845,100
107,3143137.5047315583,100
108,3144345.8576715523,100
109,3157007.344955921,100
110,3154802.0965677197,100
111,3157704.8455613134,100
112,3162799.3685890143,100
113,3162555.8332836675,100
114,3155165.9854360214,100
115,3167397.117872656,100
116,3167083.3549065134,100
117,3162817.501614715,100
118,3182118.148226659,100
119,3182087.226073187,100
120,3178459.672360007,100
121,3172087.8985463204,100
122,3173540.819879338,100
123,3170620.547340189,100
124,3172770.718643187,100
125,3171353.597107051,100
126,3170293.222118331,100
127,3167838.7021383876,100
128,3166773.453259433,100
129,3183244.163657971,100
130,3196155.491964906,100
131,3187217.740615541,100
132,3203495.589707844,100
133,3172668.4578917036,100
134,3175931.310540478,100
135,3176161.5208202596,100
136,3180856.672737994,100
137,3185542.6952494243,100
138,3175517.5802699854,100
139,3169019.286537338,100
140,3159521.806733911,100
141,3157270.488768088,100
142,3139638.7664314155,100
143,3133794.2809205074,100
144,3142537.906736815,100
145,3141662.977414993,100
146,3139312.171220949,100
147,3143067.2334476137,100
148,3140539.260348698,100
149,3144686.6579556055,100
150,3138469.077287462,100
151,3135657.4285602756,100
152,3146135.0198423765,100
153,3144195.987468595,100
154,3131307.121868963,100
155,3136583.776432341,100
156,3123081.1389223295,100
157,3131642.8938217005,100
158,3126969.879984132,100
159,3126550.511674373,100
160,3124264.02655116,100
161,3130342.5790628796,100
162,3130137.2691812394,100
163,3136371.017834272,100
164,3145967.272403017,100
165,3141575.6052662916,100
166,3150749.4234416387,100
167,3154062.7783176624,100
168,3155860.827555602,100
169,3157357.8193019293,100
170,3153372.151508182,100
171,3151816.38727042,100
172,3164070.7467932985,100
173,3181348.6036748057,100
174,3199297.5172783528,100
175,3197645.050720708,100
176,3192384.965320191,100
177,3167547.976155789,100
178,3169011.2845787206,100
179,3170476.817117575,100
180,3177895.4351524194,100
181,3185726.491133202,100
182,3177137.87301149,100
183,3176343.0486937365,100
184,3172131.232026566,100
185,3167925.5107766767,100
186,3168116.1669739974,100
187,3189422.4270376284,100
188,3190051.265757605,100
189,3190843.7121811984,100
190,3197186.6750912443,100
191,3196095.7651978214,100
192,3203044.757727731,100
193,3202505.761966772,100
194,3200839.9709037123,100
195,3203443.928672549,100
196,3197175.3683449435,100
197,3202097.927739704,100
198,3203233.0470774802,100
199,3205291.817110727,100
200,3210377.7530423417,100
