gen,hypervolume,n_solutions
1,1667712.5481488723,100
2,1741545.8061122359,100
3,1906865.3732316617,100
4,1943145.2395446768,100
5,2125667.804650326,100
6,2148803.5955603374,100
7,2220610.669497937,100
8,2229456.1633119574,100
9,2240154.827078315,100
10,2290403.2435913524,100
11,2322326.7532440675,100
12,2392325.102854111,100
13,2411139.3011356625,100
14,2432500.801148942,100
15,2477053.892752284,100
16,2488141.846906202,100
17,2491772.4750443995,100
18,2515603.3783013164,100
19,2552519.5737033165,100
20,2589590.399813463,100
21,2590817.786412314,100
22,2590503.0711312788,100
23,2638804.8235109025,100
24,2634416.313505091,100
25,2640145.7376942104,100
26,2662521.2405592743,100
27,2665953.455900685,100
28,2672691.639914187,100
29,2698665.8857696634,100
30,2713457.9478055416,100
31,2713762.166211388,100
32,2714312.461584994,100
33,2713580.9430203005,100
34,2701164.1898154807,100
35,2699230.9472840647,100
36,2723913.6999268774,100
37,2721378.488077217,100
38,2723456.504096522,100
39,2726659.1603212,100
40,2729738.566375774,100
41,2776902.912649965,100
42,2776129.4433321934,100
43,2802295.119699411,100
44,2796992.8115253905,100
45,2807052.977033601,100
46,2857249.9872561223,100
47,2858527.4779165434,100
48,2863655.705026381,100
49,2886961.2528356863,100
50,2897090.5815835535,100
51,2920289.0962476614,100
52,2926845.6455638236,100
53,2943357.5325326873,100
54,2947633.4026093334,100
55,2975453.691490163,100
56,2974419.4478081614,100
57,2975381.1422049594,100
58,2971683.6534386044,100
59,2994697.7543349667,100
60,3011047.55084173,100
61,3014499.939664635,100
62,3016235.6193177975,100
63,3017312.4258527877,100
64,3014769.936377356,100
65,3016164.6342769507,100
66,3019414.7276143827,100
67,3077192.0626152423,100
68,3088729.3960464895,100
69,3092590.1781320455,100
70,3104518.1417098204,100
71,3108614.5272393283,100
72,3115764.600026245,100
73,3101949.111673634,100
74,3103103.245459134,100
75,3114594.013728502,100
76,3109241.346642763,100
77,3109180.854543457,100
78,3105758.270742306,100
79,3112452.579633084,100
80,3110797.2954359115,100
81,3112842.626977104,100
82,3111012.635230972,100
83,3122147.5265113125,100
84,3121838.054813702,100
85,3129907.418438096,100
86,3130743.927147249,100
87,3130338.2526747845,100
88,3129955.482349161,100
89,3126060.0331704183,100
90,3110372.66039979,100
91,3108292.2284377394,100
92,3127491.8652140005,100
93,3131369.118543899,100
94,3127570.877873636,100
95,3125071.058123041,100
96,3130131.833453414,100
97,3119604.912025853,100
98,3121640.377826146,100
99,3127145.0328438296,100
100,3133914.9843633017,100
101,3130782.6219179337,100
102,3129950.900267379,100
103,3130734.1191351255,100
104,3142622.8643543385,100
105,3147911.1480016946,100
106,3176505.672523209,100
107,3140838.5031068204,100
108,3161245.5501098377,100
109,3157998.9549276945,100
110,3157684.393673662,100
111,3149675.580929552,100
112,3163246.7349043293,100
113,3163523.4920863453,100
114,3170633.0221458743,100
115,3169749.584033368,100
116,3169730.6878179833,100
117,3175960.5325741805,100
118,3175917.8258478837,100
119,3172031.024850199,100
120,3173178.124262216,100
121,3172975.8187387916,100
122,3167465.564991924,100
123,3180293.356550859,100
124,3169488.722684729,100
125,3181868.7398639964,100
126,3187039.3117051306,100
127,3196710.728784744,100
128,3196191.7980307774,100
129,3197708.9121619225,100
130,3195686.2520126896,100
131,3202620.6311558187,100
132,3202502.6404534704,100
133,3209880.934876956,100
134,3213635.823459034,100
135,3209628.742366893,100
136,3215870.4832277354,100
137,3239623.2625895087,100
138,3244500.8347015753,100
139,3245049.54683555,100
140,3246963.695742378,100
141,3228135.271411711,100
142,3224087.4401500085,100
143,3218039.3938086894,100
144,3205703.61146519,100
145,3218392.4429354,100
146,3228135.3241300243,100
147,3232805.9277733434,100
148,3237043.8325486346,100
149,3229602.196366312,100
150,3225559.5126711465,100
151,3228246.0859968234,100
152,3237522.080390849,100
153,3231822.943563206,100
154,3235607.6896894546,100
155,3232508.94530371,100
156,3233319.7809120147,100
157,3230110.35169268,100
158,3222701.885143603,100
159,3225459.5795032084,100
160,3210320.3908896614,100
161,3210676.5382159897,100
162,3223972.1807558695,100
163,3236962.8612585794,100
164,3231427.043364504,100
165,3230875.421352229,100
166,3241080.085797159,100
167,3245736.751992255,100
168,3237256.027778431,100
169,3229423.2169954637,100
170,3234089.093465833,100
171,3241534.6091833925,100
172,3239798.9910898954,100
173,3251109.1862721895,100
174,3253653.4361705035,100
175,3317191.390595268,100
176,3323475.6693010875,100
177,3343426.205645876,100
178,3340362.7834654707,100
179,3334449.240459127,100
180,3326957.4520296766,100
181,3344353.479801291,100
182,3356050.5177513547,100
183,3358265.2823280543,100
184,3358554.451792167,100
185,3357385.4983648243,100
186,3357714.7112997295,100
187,3370736.071552745,100
188,3371806.850132601,100
189,3353073.060095012,100
190,3354919.4645812893,100
191,3350170.3112010974,100
192,3340984.5369458855,100
193,3340635.480946998,100
194,3340196.3266379316,100
195,3327126.898763602,100
196,3336892.2713617776,100
197,3329710.9302819837,100
198,3336549.7294614413,100
199,3335247.57584935,100
200,3339143.6618966814,100
