solution_id,preference,cost,time,n_foods,foods,energy_value,energy_RLL,energy_RUL,energy_status,protein_value,protein_RLL,protein_RUL,protein_status,carbohydrate_value,carbohydrate_RLL,carbohydrate_RUL,carbohydrate_status,fiber_value,fiber_RLL,fiber_RUL,fiber_status,sodium_value,sodium_RLL,sodium_RUL,sodium_status
1,-0.893,7.003,49.093,2,MEYVE SUYU LD | MISIRLI AYRAN ÇORBASI,752.65,2000.0,2400.0,UNDER,25.26,40.0,100.0,UNDER,424.54,170.0,300.0,OVER,0.42,20.0,9999.0,UNDER,414.94,1500.0,2300.0,UNDER
2,101.5,18.48,680.2,14,BEYAZ PEYNIR | INCİR REÇELİ | LOR PEYNİRİ | SOSİS | ARPA ŞEHRİYE PİLAVI | BAHARATLI ELMA DİLİM PATATES KIZARTMASI | BÜLBÜL YUVASI | DOMATESLİ PİRİNÇ PİLAVI | EZOGELİN ÇORBASI LD | HAYDARİ | KREMALI BROKOLİ ÇORBASI | SOSLU MAKARNA | ZEYTİNYAĞLI SEMİZOTU | ZEYTİNYAĞLI TAZE FASULYE,2441.56,2000.0,2400.0,OVER,51.06,40.0,100.0,OK,252.73,170.0,300.0,OK,19.69,20.0,9999.0,UNDER,2483.59,1500.0,2300.0,OVER
3,41.2652,7.9848,514.4348,7,MAKARNA SALATASI | SEBZE GARNİTÜR (HAŞLANMIŞ) | DOMATESLİ PİRİNÇ PİLAVI | ETSİZ BULGURLU LAHANA | FIRIN SÜTLAÇ | YOĞURT TATLISI | YOĞURTLU MANTI MAKARNA,1948.46,2000.0,2400.0,UNDER,45.48,40.0,100.0,OK,317.01,170.0,300.0,OVER,20.79,20.0,9999.0,OK,1379.6,1500.0,2300.0,UNDER
